Rank,Jurisdiction,Overall Score
1,Myanmar,8.18
2,Haiti,8.12
3,Democratic Republic of the Congo,7.63
4,Chad,7.56
5,Equatorial Guinea,7.55
6,Venezuela,7.55
7,Lao PDR,7.50
8,Gabon,7.46
9,Central African Republic,7.44
10,Guinea-Bissau,7.30
11,Republic of the Congo,7.27
12,China,7.26
13,Djibouti,6.93
14,Niger,6.84
15,Algeria,6.82
16,Madagascar,6.77
17,Turkmenistan,6.73
18,Cambodia,6.72
19,Vietnam,6.69
20,Comoros,6.67
21,Nicaragua,6.61
22,Papua New Guinea,6.61
23,Kenya,6.60
24,Angola,6.55
25,Eswatini,6.51
26,Tajikistan,6.44
27,Togo,6.44
28,Guinea,6.43
29,Suriname,6.42
30,Cameroon,6.41
31,Sierra Leone,6.41
32,Mozambique,6.38
33,Benin,6.33
34,Solomon Islands,6.31
35,Mauritania,6.29
36,Liberia,6.26
37,Mali,6.22
38,Nigeria,6.18
39,Kuwait,6.13
40,United Arab Emirates,6.11
41,Côte d'Ivoire,6.05
42,Lesotho,6.04
43,Zimbabwe,5.99
44,Thailand,5.98
45,Kyrgyzstan,5.96
46,Sao Tome and Principe,5.96
47,Lebanon,5.93
48,Iraq,5.90
49,Nepal,5.88
50,Saudi Arabia,5.87
51,Panama,5.83
52,Gambia,5.76
53,Burkina Faso,5.75
54,Uganda,5.72
55,Rwanda,5.71
56,Belarus,5.70
57,Ethiopia,5.68
58,Tonga,5.67
59,Honduras,5.66
60,India,5.66
61,El Salvador,5.65
62,Türkiye,5.65
63,Pakistan,5.63
64,South Africa,5.63
65,Bangladesh,5.62
66,Malaysia,5.60
67,Bolivia,5.58
68,Timor-Leste,5.58
69,Bosnia and Herzegovina,5.54
70,Indonesia,5.52
71,Mexico,5.52
72,Tanzania,5.51
73,Bhutan,5.49
74,Philippines,5.48
75,Azerbaijan,5.46
76,Saint Kitts and Nevis,5.46
77,Cape Verde,5.45
78,Guatemala,5.44
79,Malawi,5.44
80,Brazil,5.40
81,Ukraine,5.38
82,"Hong Kong, SAR, China",5.37
83,Senegal,5.36
84,Zambia,5.31
85,Uzbekistan,5.27
86,Qatar,5.25
87,Egypt,5.22
88,Serbia,5.21
89,Kazakhstan,5.18
90,Bahrain,5.16
91,Cuba,5.16
92,Guyana,5.16
93,Hungary,5.16
94,Sri Lanka,5.16
95,Malta,5.15
96,Ghana,5.13
97,Bahamas,5.08
98,Dominican Republic,5.08
99,Colombia,5.05
100,Morocco,5.04
101,Bulgaria,5.00
102,Costa Rica,4.97
103,Germany,4.97
104,Vanuatu,4.97
105,Mongolia,4.96
106,Barbados,4.91
107,Ecuador,4.91
108,Paraguay,4.91
109,Marshall Islands,4.89
110,Peru,4.88
111,Grenada,4.85
112,Jordan,4.85
113,United States,4.83
114,Romania,4.81
115,Jamaica,4.78
116,Namibia,4.78
117,Cyprus,4.77
118,Italy,4.76
119,Tunisia,4.75
120,Fiji,4.73
121,Japan,4.73
122,Singapore,4.73
123,Mauritius,4.65
124,Moldova,4.64
125,Canada,4.61
126,Seychelles,4.60
127,Saint Lucia,4.58
128,Samoa,4.56
129,Netherlands,4.53
130,"Korea, South",4.51
131,Taiwan (Chinese Taipei),4.49
132,Poland,4.49
133,Switzerland,4.47
134,Belgium,4.46
135,Argentina,4.44
136,Ireland,4.40
137,Slovakia,4.38
138,Albania,4.36
139,Montenegro,4.33
140,Georgia,4.32
141,Austria,4.28
142,Chile,4.28
143,Oman,4.25
144,Spain,4.24
145,Uruguay,4.23
146,Brunei Darussalam,4.22
147,North Macedonia,4.20
148,Croatia,4.18
149,Dominica,4.17
150,Australia,4.13
151,Botswana,4.12
152,Trinidad and Tobago,4.12
153,Liechtenstein,4.11
154,Belize,4.06
155,Israel,4.06
156,Saint Vincent and the Grenadines,4.05
157,United Kingdom,4.04
158,Lithuania,4.03
159,Latvia,4.01
160,France,3.99
161,Greece,3.99
162,Antigua and Barbuda,3.98
163,Armenia,3.98
164,Luxembourg,3.97
165,Nauru,3.88
166,Portugal,3.83
167,Czech Republic,3.82
168,New Zealand,3.76
169,Norway,3.73
170,Slovenia,3.49
171,Andorra,3.48
172,Sweden,3.48
173,Estonia,3.25
174,Denmark,3.18
175,San Marino,3.08
176,Iceland,3.04
177,Finland,3.03
