Country,Detail_URL
Algeria,https://www.fatf-gafi.org/en/countries/detail/Algeria.html
Angola,https://www.fatf-gafi.org/en/countries/detail/Angola.html
Bolivia,https://www.fatf-gafi.org/en/countries/detail/Bolivia.html
Bulgaria,https://www.fatf-gafi.org/en/countries/detail/Bulgaria.html
Cameroon,https://www.fatf-gafi.org/en/countries/detail/Cameroon.html
Côte d'Ivoire,https://www.fatf-gafi.org/en/countries/detail/C-te-d-Ivoire.html
Democratic Republic of Congo,https://www.fatf-gafi.org/en/countries/detail/Democratic-Republic-of-Congo.html
Haiti,https://www.fatf-gafi.org/en/countries/detail/Haiti.html
Kenya,https://www.fatf-gafi.org/en/countries/detail/Kenya.html
Kuwait,https://www.fatf-gafi.org/en/countries/detail/Kuwait.html
Lao People's Democratic Republic,https://www.fatf-gafi.org/en/countries/detail/Lao-People-s-Democratic-Republic.html
Lebanon,https://www.fatf-gafi.org/en/countries/detail/Lebanon.html
Monaco,https://www.fatf-gafi.org/en/countries/detail/Monaco.html
Namibia,https://www.fatf-gafi.org/en/countries/detail/Namibia.html
Nepal,https://www.fatf-gafi.org/en/countries/detail/Nepal.html
Papua New Guinea,https://www.fatf-gafi.org/en/countries/detail/Papua-New-Guinea.html
South Sudan,https://www.fatf-gafi.org/en/countries/detail/South-Sudan.html
Syria,https://www.fatf-gafi.org/en/countries/detail/Syria.html
Venezuela,https://www.fatf-gafi.org/en/countries/detail/Venezuela.html
Vietnam,https://www.fatf-gafi.org/en/countries/detail/Vietnam.html
Virgin Islands (UK),https://www.fatf-gafi.org/en/countries/detail/Virgin-Islands-UK.html
Yemen,https://www.fatf-gafi.org/en/countries/detail/Yemen.html
