Federal holiday,Date,Date of system closure
New Year’s Day,"Thursday, January 1","Thursday, January 1"
Good Friday,"Friday, April 3","Friday, April 3"
Victoria Day,"Monday, May 18","Monday, May 18"
Canada Day,"Wednesday, July 1","Wednesday, July 1"
Labour Day,"Monday, September 7","Monday, September 7"
National Day for Truth and Reconciliation,"Wednesday, September 30","Wednesday, September 30"
Thanksgiving,"Monday, October 12",Monday October 12
Remembrance Day,"Wednesday, November 11","Wednesday, November 11"
Christmas Day,"Friday, December 25",Friday December 25
Boxing Day,"Saturday, December 26","Monday, December 28"
