Holiday,2026 - Processing Ends,2026 - Processing Resumes*
New Year’s Day,"Dec. 31, 2025, 11:30 p.m. ET","Jan. 1, 2026, 5:30 p.m. ET"
Martin Luther King Jr. Day,"Jan. 17, 2026, 3 a.m. ET","Jan. 19, 2026, 5:30 p.m. ET"
Washington’s Birthday (Presidents Day),"Feb. 14, 2026, 3 a.m. ET","Feb. 16, 2026, 5:30 p.m. ET"
Memorial Day,"May 23, 2026, 3 a.m. ET","May 25, 2026, 5:30 p.m. ET"
Juneteenth National Independence Day,"June 18, 2026, 11:30 p.m. ET","June 21, 2026, 5:30 p.m. ET"
Independence Day,"July 3, 2026, 11:30 p.m. ET","July 5, 2026, 5:30 p.m. ET"
Labor Day,"Sept. 5, 2026, 3 a.m. ET","Sept. 7, 2026, 5:30 p.m. ET"
Columbus Day,"Oct. 10, 2026, 3 a.m. ET","Oct. 12, 2026, 5:30 p.m. ET"
Veterans Day,"Nov. 10, 2026, 11:30 p.m. ET","Nov. 11, 2026, 5:30 p.m. ET"
Thanksgiving Day,"Nov. 25, 2026, 11:30 p.m. ET","Nov. 26, 2026, 5:30 p.m. ET"
Christmas Day,"Dec. 24, 2026, 11:30 p.m. ET","Dec. 27, 2026, 5:30 p.m. ET"
